,Star_name,Distance,Mass,Radius,name,solar_distance,solar_mass,solar_radius
93,2MASS J0523-1403,040.3,0.07,0.086,2MASSI J1217110-031113 [de],36.0,3.8272006e-05,0.00992662
68,54 Piscium,036.1,0.76,0.94,SDSS J083048.80+012831.1 [de],77.0,4.191696e-05,0.010137824
64,61 Cygni,011.41,0.7,0.665,DENIS J081730.0-615520,16.1,4.0094485e-05,0.00992662
10,Achernar,0144,6.7,9.3,2MASS J00501994-3322402 [de],34.0,3.644953e-05,0.00992662
13,Acrux,0320,18,8.9,SDSSp J010752.33+004156.1 [de],51.0,4.738439e-05,0.010349029
22,Adhara,0430,12.5,14,LP 771-21,53.0,7.107658e-05,0.011405053
14,Aldebaran,0065,1.5,44,2MASSI J0117474-340325 [de],163.0,1.8224766e-05,0.017107578
43,Alhena,0109,2.8,3.3,2MASS J04390101-2353083 [de],29.5,4.3739437e-05,0.010243427
32,Alioth,0081,2.9,4.2,2MASS J03284265+2302051 [de],98.0,4.9206865e-05,0.010349029
40,Alkaid,0104,6.1,3.4,2MASS J04285096-2253227 [de],85.0,7.289906e-05,0.011510655
50,Almaaz,0653,15,140,2MASS J0523−1403,40.0,6.19642e-05,0.010665837
31,Alnair,0101,4.0,3.4,2MASS J03264225-2102057 [de],80.0,1.640229e-05,0.013728305
29,Alnilam,"2,000",32,42,2MASS J03231002-4631237,192.0,2.095848e-05,0.017529989
33,Alnitak,01050,33,20,2MASS J03341218-4953322,27.0,6.652039e-05,0.010982643
3,Alpha Centauri,0004.4,1.1,1.2,2MASS J00274197+0503417,236.0,2.8248385e-05,0.015206737
48,Alphard,0180,3.0,50,2MASS J05012406-0010452 [de],64.0,1.9136003e-05,0.014573122
45,Alsephina[2],0080,2.4,2.9,2MASS J04455387-3048204 [de],42.0,5.831925e-05,0.010560233
12,Altair,0017,1.8,1.8,2MASSI J0103320+193536,70.0,4.738439e-05,0.010349029
15,Antares,0600,12,680,2MASS J01415823-4633574 [de],130.0,1.8224766e-05,0.017001975
4,Arcturus,0037,1.1,26,2MASSW J0030300-145033,87.2,4.9206865e-05,0.010349029
42,Atria,0390,7,92,2MASS J04362788-4114465,142.0,3.553829e-05,0.02080366
39,Avior,0630,9.0,130,2MASS J04151954−0935066,18.6,2.7337148e-05,0.010032223
79,Barnard's Star,05.98,0.14,0.20,2MASSW J1036530-344138 [de],53.0,4.4650675e-05,0.010243427
26,Bellatrix,0240,8.6,5.8,DEN 0255-4700,16.2,7.289906e-05,0.010243427
9,Betelgeuse,0640[1],20,950,WISEP J004701.06+680352.1 [fr],40.0,1.0934859e-05,0.013728305
2,Canopus,0310,15,71,2MASS J00242463-0158201,37.7,7.198782e-05,0.011510655
6,Capella,0043,2.6,12,2MASS J00345157+0523050,31.0,3.8272006e-05,0.00992662
24,Castor,0052,2.8,2.4,2MASS J02535980+3206373,184.0,5.9230486e-05,0.020064445
57,Delta Cephei,0887,4.5,44.5,2MASS J07075327-4900503,60.0,6.560916e-05,0.010877041
53,Delta Pavonis,019.92,0.991,1.22,2MASS J06085283-2753583,102.0,3.4627054e-05,0.015945952
19,Deneb,"2,600",19,203,2MASS J02340093-6442068,155.0,1.8224766e-05,0.017107578
34,Dubhe,0120,4.25,30,LP 944-20,20.9,6.652039e-05,0.015101135
27,Elnath,0130,5.0,4.2,2MASS J03185403-3421292 [de],45.0,4.4650675e-05,0.010243427
56,Eta Carinae,"07,500",100,60–881,DENIS-P J0652197-253450 [de],51.0,6.8342866e-05,0.011088246
18,Fomalhaut,0025,1.9,1.8,2MASS J02103857-3015313,101.0,1.3668574e-05,0.016157158
25,Gacrux,0088,1.5,84,WISE J0254+0223,24.0,5.9230486e-05,0.020064445
30,Gamma Velorum,"01,100",9.0,6,SDSS J032553.17+042540.1,59.0,4.1005722e-05,0.010032223
88,Gliese 1214,047.5,0.16,0.21,2MASS J11145133−2618235,18.2,3.0070863e-05,0.010137824
73,HD 140283,0190,?,1.4,2MASSI J0937347+293142,20.0,3.8272006e-05,0.00992662
11,Hadar,0390,10.5,8.6,2MASS J00584253-0651239 [de],96.0,2.6425909e-05,0.015101135
74,II Pegasi,0130,0.8,3.4,2MASS 0939−2448,17.4,2.9159624e-05,0.010032223
95,Icarus,"014,400,000,000",33,?,TWA 29,262.0,1.8224765e-06,0.26400587
82,KIC 8462852,"01,470",1.43,1.58,Luhman 16B,6.516,3.9183244e-05,0.0107714385
38,Kaus Australis,0140,3.5,6.8,2MASS J03552337+1133437,29.8,1.8224766e-05,0.013939509
62,La Superba,"01,000",,129 - 342,DENIS-P J0751164-253043 [de],55.0,6.469792e-05,0.010877041
71,Lacaille 8760,012.87,0.6,0.51,2MASS J08533619-0329321,27.6,7.016535e-05,0.011299451
80,Luhman 16,06.52,0.04,?,2MASS J1047538+212423 [de],34.4,3.8272006e-05,0.00992662
84,Melnick 42,"0163,000",189,21.1,DENIS-P J1058.7−1548,49.0,5.831925e-05,0.010560233
41,Menkalinan,081,2.39,2.77,2MASS J04351612-1606574,34.0,9.1123824e-05,0.013305894
28,Miaplacidus,0110,3.5,6.8,2MASS J03205965+1854233,47.0,8.018897e-05,0.012144269
20,Mimosa,0350,16,8.4,2MASS J02411151-0326587 [de],152.0,2.4603432e-05,0.01488993
69,Mira,0300,1.2,370,2MASSI J0835425-081923 [de],23.53,5.649677e-05,0.010560233
35,Mirfak,0590,8.5,68,2MASP J0345432+254023,88.0,6.743163e-05,0.011088246
46,Mirzam,0500,13.5,10,2MASS J04510093-3402150 [de],69.0,9.4768774e-07,0.7603368
58,Mu Cephei,"06,000",19.2,972,UGPS J072227.51-054031.2,13.4,2.3692195e-05,0.010349029
89,NML Cygni,"05,251",50,"1,640 - 2,770",TWA 26,137.0,2.7337148e-05,0.023232514
61,P Cygni,"05,545",30,76,SDSS J074201.41+205520.5 [de],49.0,3.9183244e-05,0.00992662
44,Peacock,0180,5.9,4.8,2MASS J04433764+0002040,82.0,2.0047242e-05,0.018797217
76,Pistol Star,"025,000",100,320,2MASS J10073369-4555147,46.0,4.0094485e-05,0.00992662
47,Polaris,0430,5.4,39,2MASS J05002100+0330501 [de],44.0,5.831925e-05,0.010560233
66,Polaris Australis,0281,1.59,3.74,SDSSp J083008.12+482847.4 [de],43.0,4.3739437e-05,0.010454631
17,Pollux,0034,1.9,8.8,SDSS J020742.48+000056.2 [de],111.0,4.2828196e-05,0.010243427
8,Procyon,0011.4,1.5,1.9,2MASSW J0045214+163445,57.0,2.095848e-05,0.017107578
81,Proxima Centauri,04.25,0.12,0.15,DEN 1048-3956,13.15,7.016535e-05,0.011299451
67,R Coronae Borealis,"04,566",0.85,85,LHS 2021,55.0,8.018897e-05,0.012144269
65,R Doradus,0178,0.7 - 1.0,298,2MASS J08251968+2115521 [de],35.0,4.738439e-05,0.010349029
83,R136a1,"0163,000",290,32,Luhman 16A,6.516,3.644953e-05,0.010665837
70,RW Cephei,"014,000",13.9,"1,158",2MASSI J0847287-153237 [de],43.0,5.831925e-05,0.010560233
54,Ran,010.48,0.82,0.74,2MASS J06244595-4521548 [de],39.0,5.1029343e-05,0.010454631
51,Rasalgethi,0360,2.8,280,SDSS J053951.99-005902.0,41.62,5.5585533e-05,0.010665837
21,Regulus,0077,3.8,3.1,2MASS J02431371−2453298,35.0,3.0070863e-05,0.010454631
60,Rho Cassiopeiae,"08,154",22,636-981,2MASS J07290002-3954043 [de],25.8,3.3715816e-05,0.00992662
7,Rigel,0860,23,78.9,2MASS 0036+1821,28.6,3.8272006e-05,0.00992662
77,S Doradus,"0169,000",24,380,2MASSI J1010148-040649 [de],55.0,4.6473153e-05,0.010349029
37,Sargas,0270,5.7,26,2MASS J03510004-0052452,48.0,9.2946306e-05,0.013411497
49,Scheat,0196,2.1,95,2MASS J05160945-0445499 [de],73.0,4.2828196e-05,0.010243427
23,Shaula,0700,14.5,8.8,Teegarden's star,12.578,7.289906e-05,0.013411497
1,Sirius,0008.6,2.1,1.71´,2MASS J00040288-6410358,192.0,1.7313527e-05,0.01721318
16,Spica,0260,11.43,7.47,SDSS J015141.69+124429.6,70.0,4.2828196e-05,0.010243427
0,Sun,0.000015813,1,1,SDSS J000013.54+255418.6 [de],46.1,4.3739437e-05,0.010454631
92,TRAPPIST-1,039.6,0.089,0.12,2MASS J12074836-3900043,217.0,1.549105e-05,0.018058
52,Tau Ceti,011.9,0.783,0.893,LSR 0602+3910 [de],34.6,2.5514672e-05,0.01488993
59,Titawin,044.25,1.27,1.48,2MASSI J0727182+171001 [de],29.6,3.736077e-05,0.00992662
78,UY Scuti,"05,100",7–10,755,2MASS J10224821+5825453 [de],60.0,2.4603432e-05,0.01488993
55,V382 Carinae,"08,900",20,485,2MASS J06411840-4322329 [de],65.0,6.105296e-05,0.010665837
72,V838 Monocerotis,"019,896",?,380 - 750,2MASSI J0859254-194926 [de],50.0,4.5561912e-05,0.010349029
90,VB 10,018.72,0.075,0.10,2MASS J11544223-3400390 [de],129.0,3.3715816e-05,0.01584035
86,VFTS 352,"0164,000",57.48,14.47,Cha 110913-773444,163.0,7.289906e-06,0.019008422
63,VV Cephei,"04,900",18.2,"516 - 1,050",2MASS J07522390+1612157,60.0,1.8315889e-06,0.7180959
75,VY Canis Majoris,"03,900",17,"1,420",2MASS J09490860-1545485 [de],59.0,4.4650675e-05,0.010137824
5,Vega,0025,2.2,2.7,2MASS J00332386-1521309 [de],131.0,2.6425909e-05,0.015101135
94,WISE 0855−0714,07.27,0.003,?,2M 1237+6526,45.6,3.736077e-05,0.00992662
91,WOH G64,"0163,000",<20,"1,540 - 1,730",2MASSW J1155395-372735 [de],31.0,5.831925e-05,0.010560233
85,WR 102,"018,134",19,0.39,TWA 28,180.0,3.280458e-05,0.02523896
36,Wezen,"1,600",17,200,Teide 1,380.0,5.0118106e-05,0.03991768
87,YBP 1194,"02,772",1.01,0.99,SDSS J111010.01+011613.1,63.0,8.201145e-06,0.01309469
